id,expected_relative_path,create_date,sys_file_soft_deleted,delete_ts_date,ext,file_size,file_name_md5,file_name_length,reference_count,active_reference_count,soft_deleted_reference_count,reference_columns_count,reference_columns,found_elsewhere_active_storage_count,found_in_archive_count,classification,recommended_action,blocks_stage_3
0272a965-5475-6247-67b9-d1e0e5cfbbb9,2019/10/22/0272a965-5475-6247-67b9-d1e0e5cfbbb9.xlsx,2019-10-22,f,,xlsx,80452,f797419825e3985fc297979965cba9c4,42,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
0bdc2d0e-5ac9-eb55-723b-af25d034f8c2,2019/10/22/0bdc2d0e-5ac9-eb55-723b-af25d034f8c2.csv,2019-10-22,f,,csv,2094,4cd052c3e0136e86377277f83a16a362,25,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
2a359dee-e414-438e-67dc-6f7e408d3290,2019/10/22/2a359dee-e414-438e-67dc-6f7e408d3290.xlsx,2019-10-22,f,,xlsx,5568,054ee4ba47b62b5b06afb96902b53ab7,14,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
4e974b7c-a8ec-66fa-d9c0-54201c176dee,2019/10/22/4e974b7c-a8ec-66fa-d9c0-54201c176dee.xlsx,2019-10-22,f,,xlsx,80452,f797419825e3985fc297979965cba9c4,42,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
6757a0c0-de23-92fa-cf2c-f9c4d1954b3c,2019/10/22/6757a0c0-de23-92fa-cf2c-f9c4d1954b3c.csv,2019-10-22,f,,csv,3216,2d8fc96f56c1a7e336a798df9e16c527,11,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
7fc2d6f6-25b0-cbb6-1737-eb84a9e985a0,2019/10/22/7fc2d6f6-25b0-cbb6-1737-eb84a9e985a0.xlsx,2019-10-22,f,,xlsx,80452,f797419825e3985fc297979965cba9c4,42,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
a0bab979-0a27-ed24-21cd-6eb56fc1daa3,2019/10/22/a0bab979-0a27-ed24-21cd-6eb56fc1daa3.xlsx,2019-10-22,f,,xlsx,83781,f797419825e3985fc297979965cba9c4,42,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
accf44c6-b32e-3065-bfc4-cc340db38307,2019/10/22/accf44c6-b32e-3065-bfc4-cc340db38307.csv,2019-10-22,f,,csv,3593,bdad70fefe6c1ba3e563e596f774da8a,13,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
bed76909-7e6e-d3d0-ba3b-3018a0081776,2019/10/22/bed76909-7e6e-d3d0-ba3b-3018a0081776.xlsx,2019-10-22,f,,xlsx,793664,f797419825e3985fc297979965cba9c4,42,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
c0596ca9-8d31-cbf0-497c-53b969d419e2,2019/10/22/c0596ca9-8d31-cbf0-497c-53b969d419e2.csv,2019-10-22,f,,csv,257,b820e9bd48b3ff6c3ace4ec1387d3e05,12,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
c6ad279d-2fe0-1bd7-a013-14e4f83edb3d,2019/10/22/c6ad279d-2fe0-1bd7-a013-14e4f83edb3d.csv,2019-10-22,f,,csv,45220,4f6d921d593f370dd57737ce7c0c09a7,14,1,1,0,1,public.ddcdi_import_exec.file_id,0,0,E_ACTIVE_LINKED_FILE_MISSING,business_owner_decision_required_before_stage_3,yes
